name,location,compressed_file,description,type,id
China,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,asia/ch.exe,provinces,country,GMI_ADMIN
Algeria,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,africa/ag.exe,provinces,country,GMI_ADMIN
Angola,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,africa/ao.exe,provinces,country,GMI_ADMIN
Kenya,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,africa/KE.exe,provinces,country,GMI_ADMIN
Antarctica,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,antcra/AY.exe,territories,country,GMI_ADMIN
Afghanistan,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,asia/af.exe,districts,country,GMI_ADMIN
Kazhakstan,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,asia/kz.exe,provinces,country,GMI_ADMIN
Australia,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,australia/AS.exe,states,country,GMI_ADMIN
Belgium,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,europe/BE.exe,provinces,country,GMI_ADMIN
France,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,europe/FR.exe,départements,country,GMI_ADMIN
Iceland,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,europe/IC.exe,regions,country,GMI_ADMIN
Canada,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,namer/CA.exe,provinces,country,GMI_ADMIN
Mexico,ftp://ftp.cdc.gov/pub/software/epi_info/epiinfo/shapefiles/,namer/MX.exe,states,country,GMI_ADMIN
World,http://geocommons.com/overlays/,33578.zip,countries,world,CNTRY_NAME
USA_cty_20m,http://www2.census.gov/geo/tiger/GENZ2014/shp/,cb_2014_us_county_20m.zip,counties at 1:20000000 scale,country,GEOID
